"G" "D" "r" "C" "L" "s" "b" "width_H" "center_H" "ss_H" "sss"
"424" 100 32 1.53 20 10000 0.65 0.0625 1.61491273462104 5.90407762392544 1.53377577063405 2.3596550317447
"425" 200 32 1.53 20 10000 0.65 0.0625 1.25937995042081 6.48287334964335 2.52200789280383 3.88001214277512
"426" 300 32 1.53 20 10000 0.65 0.0625 1.03035631678477 7.59971585837855 3.76777634688696 5.7965789952107
"427" 400 32 1.53 20 10000 0.65 0.0625 1.60230022864205 8.53027660133952 1.55801703560112 2.39694928554019
"428" 500 32 1.53 20 10000 0.65 0.0625 1.71833043561294 5.88911493772474 1.35471090351888 2.08417062079828
"429" 600 32 1.53 20 10000 0.65 0.0625 1.23389847902358 5.78729491931388 2.62724838379163 4.04192059044866
"430" 700 32 1.53 20 10000 0.65 0.0625 1.49299447907835 8.43482412492037 1.7945005170965 2.7607700263023
"431" 800 32 1.53 20 10000 0.65 0.0625 1.55113269168151 8.52108544964205 1.66250166552525 2.55769487003885
"432" 900 32 1.53 20 10000 0.65 0.0625 1.21452240436277 5.87384638630903 2.71174551154028 4.17191617160043
"433" 1000 32 1.53 20 10000 0.65 0.0625 1.21459150479552 6.28423718556592 2.71143696754451 4.17144148853001
"434" 100 32 1.53 20 10000 0.7 0.0625 1.2663052496355 8.59598104327812 2.49449809562709 3.56356870803869
"435" 200 32 1.53 20 10000 0.7 0.0625 1.48146589905485 10.6621055713409 1.8225383392178 2.60362619888257
"436" 300 32 1.53 20 10000 0.7 0.0625 1.57051449110906 8.62660494894114 1.62172083141238 2.31674404487484
"437" 400 32 1.53 20 10000 0.7 0.0625 1.47430070916009 10.6785514424078 1.84029667924472 2.62899525606389
"438" 500 32 1.53 20 10000 0.7 0.0625 1.45755243972634 9.92113670439997 1.88283218660254 2.68976026657506
"439" 600 32 1.53 20 10000 0.7 0.0625 1.42690961909026 8.45252873949812 1.96456797432829 2.80652567761184
"440" 700 32 1.53 20 10000 0.7 0.0625 1.64161187289833 8.48161835918343 1.48429089162531 2.12041555946473
"441" 800 32 1.53 20 10000 0.7 0.0625 1.53535028401809 8.08187594441313 1.69685621714525 2.4240803102075
